Date,Rate
1/2/1962,4.06
1/3/1962,4.03
1/4/1962,3.99
1/5/1962,4.02
1/8/1962,4.03
1/9/1962,4.05
1/10/1962,4.07
1/11/1962,4.08
1/12/1962,4.08
1/15/1962,4.1
1/16/1962,4.13
1/17/1962,4.12
1/18/1962,4.11
1/19/1962,4.11
1/22/1962,4.09
1/23/1962,4.11
1/24/1962,4.1
1/25/1962,4.11
1/26/1962,4.11
1/29/1962,4.12
1/30/1962,4.11
1/31/1962,4.1
2/1/1962,4.09
2/2/1962,4.08
2/5/1962,4.07
2/6/1962,4.06
2/7/1962,4.07
2/8/1962,4.07
2/9/1962,4.05
2/13/1962,4.03
2/14/1962,4.03
2/15/1962,4.02
2/16/1962,4.02
2/19/1962,4.01
2/20/1962,4.05
2/21/1962,4.03
2/23/1962,4.02
2/26/1962,4.0
2/27/1962,4.01
2/28/1962,4.0
3/1/1962,3.98
3/2/1962,3.98
3/5/1962,4.0
3/6/1962,4.01
3/7/1962,4.0
3/8/1962,3.98
3/9/1962,3.96
3/12/1962,3.94
3/13/1962,3.92
3/14/1962,3.93
3/15/1962,3.96
3/16/1962,3.96
3/19/1962,3.93
3/20/1962,3.91
3/21/1962,3.86
3/22/1962,3.83
3/23/1962,3.87
3/26/1962,3.89
3/27/1962,3.9
3/28/1962,3.9
3/29/1962,3.9
3/30/1962,3.86
4/2/1962,3.86
4/3/1962,3.83
4/4/1962,3.78
4/5/1962,3.84
4/6/1962,3.81
4/9/1962,3.83
4/10/1962,3.83
4/11/1962,3.87
4/12/1962,3.86
4/13/1962,3.85
4/16/1962,3.83
4/17/1962,3.82
4/18/1962,3.81
4/19/1962,3.82
4/23/1962,3.86
4/24/1962,3.87
4/25/1962,3.88
4/26/1962,3.89
4/27/1962,3.86
4/30/1962,3.86
5/1/1962,3.85
5/2/1962,3.86
5/3/1962,3.86
5/4/1962,3.87
5/7/1962,3.86
5/8/1962,3.85
5/9/1962,3.82
5/10/1962,3.83
5/11/1962,3.82
5/14/1962,3.85
5/15/1962,3.87
5/16/1962,3.86
5/17/1962,3.87
5/18/1962,3.93
5/21/1962,3.94
5/22/1962,3.93
5/23/1962,3.91
5/24/1962,3.9
5/25/1962,3.88
5/28/1962,3.87
5/29/1962,3.89
5/31/1962,3.9
6/1/1962,3.89
6/4/1962,3.88
6/5/1962,3.89
6/6/1962,3.89
6/7/1962,3.87
6/8/1962,3.86
6/11/1962,3.87
6/12/1962,3.86
6/13/1962,3.87
6/14/1962,3.9
6/15/1962,3.89
6/18/1962,3.91
6/19/1962,3.93
6/20/1962,3.92
6/21/1962,3.9
6/22/1962,3.9
6/25/1962,3.95
6/26/1962,3.97
6/27/1962,3.96
6/28/1962,3.98
6/29/1962,4.0
7/2/1962,4.0
7/3/1962,4.0
7/5/1962,4.0
7/6/1962,4.02
7/9/1962,4.05
7/10/1962,4.02
7/11/1962,3.99
7/12/1962,4.0
7/13/1962,4.0
7/16/1962,4.01
7/17/1962,4.03
7/18/1962,4.02
7/19/1962,4.02
7/20/1962,4.01
7/23/1962,4.0
7/24/1962,4.01
7/25/1962,4.02
7/26/1962,4.01
7/27/1962,4.02
7/30/1962,4.03
7/31/1962,4.04
8/1/1962,4.03
8/2/1962,4.0
8/3/1962,4.01
8/6/1962,4.01
8/7/1962,4.02
8/8/1962,4.01
8/9/1962,3.99
8/10/1962,3.99
8/13/1962,3.99
8/14/1962,3.98
8/15/1962,3.98
8/16/1962,3.96
8/17/1962,3.96
8/20/1962,3.94
8/21/1962,3.94
8/22/1962,3.95
8/23/1962,3.95
8/24/1962,3.95
8/27/1962,3.95
8/28/1962,3.96
8/29/1962,3.96
8/30/1962,3.95
8/31/1962,3.96
9/4/1962,3.96
9/5/1962,3.97
9/6/1962,3.99
9/7/1962,4.01
9/10/1962,4.0
9/11/1962,4.0
9/12/1962,4.0
9/13/1962,3.99
9/14/1962,3.99
9/17/1962,3.99
9/18/1962,3.98
9/19/1962,3.99
9/20/1962,3.98
9/21/1962,3.98
9/24/1962,3.97
9/25/1962,3.96
9/26/1962,3.95
9/27/1962,3.95
9/28/1962,3.94
10/1/1962,3.93
10/2/1962,3.92
10/3/1962,3.9
10/4/1962,3.9
10/5/1962,3.92
10/8/1962,3.93
10/9/1962,3.95
10/10/1962,3.93
10/11/1962,3.94
10/15/1962,3.94
10/16/1962,3.94
10/17/1962,3.94
10/18/1962,3.92
10/19/1962,3.88
10/22/1962,3.91
10/23/1962,3.94
10/24/1962,3.94
10/25/1962,3.94
10/26/1962,3.93
10/29/1962,3.92
10/30/1962,3.92
10/31/1962,3.92
11/1/1962,3.92
11/2/1962,3.91
11/5/1962,3.91
11/7/1962,3.91
11/8/1962,3.9
11/9/1962,3.89
11/13/1962,3.9
11/14/1962,3.91
11/15/1962,3.91
11/16/1962,3.93
11/19/1962,3.93
11/20/1962,3.93
11/21/1962,3.92
11/23/1962,3.92
11/26/1962,3.93
11/27/1962,3.92
11/28/1962,3.92
11/29/1962,3.92
11/30/1962,3.92
12/3/1962,3.93
12/4/1962,3.94
12/5/1962,3.93
12/6/1962,3.92
12/7/1962,3.91
12/10/1962,3.9
12/11/1962,3.89
12/12/1962,3.88
12/13/1962,3.88
12/14/1962,3.87
12/17/1962,3.85
12/18/1962,3.83
12/19/1962,3.84
12/20/1962,3.83
12/21/1962,3.81
12/24/1962,3.79
12/26/1962,3.79
12/27/1962,3.81
12/28/1962,3.84
12/31/1962,3.85
1/2/1963,3.82
1/3/1963,3.81
1/4/1963,3.84
1/7/1963,3.83
1/8/1963,3.81
1/9/1963,3.82
1/10/1963,3.81
1/11/1963,3.8
1/14/1963,3.81
1/15/1963,3.8
1/16/1963,3.8
1/17/1963,3.82
1/18/1963,3.84
1/21/1963,3.85
1/22/1963,3.86
1/23/1963,3.86
1/24/1963,3.86
1/25/1963,3.85
1/28/1963,3.86
1/29/1963,3.86
1/30/1963,3.86
1/31/1963,3.87
2/1/1963,3.88
2/4/1963,3.89
2/5/1963,3.9
2/6/1963,3.91
2/7/1963,3.91
2/8/1963,3.91
2/11/1963,3.92
2/13/1963,3.92
2/14/1963,3.91
2/15/1963,3.91
2/18/1963,3.91
2/19/1963,3.93
2/20/1963,3.94
2/21/1963,3.95
2/25/1963,3.95
2/26/1963,3.95
2/27/1963,3.95
2/28/1963,3.94
3/1/1963,3.93
3/4/1963,3.92
3/5/1963,3.92
3/6/1963,3.91
3/7/1963,3.92
3/8/1963,3.92
3/11/1963,3.92
3/12/1963,3.92
3/13/1963,3.92
3/14/1963,3.92
3/15/1963,3.92
3/18/1963,3.92
3/19/1963,3.92
3/20/1963,3.92
3/21/1963,3.92
3/22/1963,3.93
3/25/1963,3.94
3/26/1963,3.96
3/27/1963,3.96
3/28/1963,3.96
3/29/1963,3.95
4/1/1963,3.95
4/2/1963,3.96
4/3/1963,3.96
4/4/1963,3.95
4/5/1963,3.95
4/8/1963,3.97
4/9/1963,3.98
4/10/1963,4.0
4/11/1963,4.0
4/15/1963,4.01
4/16/1963,4.0
4/17/1963,4.0
4/18/1963,3.99
4/19/1963,3.97
4/22/1963,3.97
4/23/1963,3.97
4/24/1963,3.96
4/25/1963,3.95
4/26/1963,3.95
4/29/1963,3.95
4/30/1963,3.95
5/1/1963,3.94
5/2/1963,3.94
5/3/1963,3.93
5/6/1963,3.92
5/7/1963,3.91
5/8/1963,3.92
5/9/1963,3.93
5/10/1963,3.93
5/13/1963,3.92
5/14/1963,3.91
5/15/1963,3.91
5/16/1963,3.9
5/17/1963,3.92
5/20/1963,3.93
5/21/1963,3.92
5/22/1963,3.92
5/23/1963,3.93
5/24/1963,3.95
5/27/1963,3.95
5/28/1963,3.96
5/29/1963,3.96
5/31/1963,3.96
6/3/1963,3.98
6/4/1963,3.98
6/5/1963,3.98
6/6/1963,3.99
6/7/1963,3.99
6/10/1963,3.99
6/11/1963,3.98
6/12/1963,3.99
6/13/1963,3.99
6/14/1963,3.99
6/17/1963,4.0
6/18/1963,4.0
6/19/1963,4.0
6/20/1963,4.0
6/21/1963,4.0
6/24/1963,4.0
6/25/1963,4.0
6/26/1963,4.0
6/27/1963,4.0
6/28/1963,4.0
7/1/1963,4.01
7/2/1963,4.03
7/3/1963,4.03
7/5/1963,4.04
7/8/1963,4.05
7/9/1963,4.04
7/10/1963,4.03
7/11/1963,4.04
7/12/1963,4.03
7/15/1963,4.02
7/16/1963,4.02
7/17/1963,4.03
7/18/1963,4.02
7/19/1963,4.02
7/22/1963,4.02
7/23/1963,4.02
7/24/1963,4.01
7/25/1963,4.01
7/26/1963,3.99
7/29/1963,3.99
7/30/1963,4.0
7/31/1963,4.0
8/1/1963,3.99
8/2/1963,3.99
8/5/1963,3.99
8/6/1963,4.0
8/7/1963,4.01
8/8/1963,4.0
8/9/1963,4.0
8/12/1963,4.01
8/13/1963,4.02
8/14/1963,4.02
