Date,Rate
1/4/1999,1.1812
1/5/1999,1.176
1/6/1999,1.1636
1/7/1999,1.1672
1/8/1999,1.1554
1/11/1999,1.1534
1/12/1999,1.1548
1/13/1999,1.1698
1/14/1999,1.1689
1/15/1999,1.1591
1/19/1999,1.161
1/20/1999,1.1575
1/21/1999,1.1577
1/22/1999,1.1582
1/25/1999,1.1566
1/26/1999,1.1577
1/27/1999,1.1481
1/28/1999,1.1395
1/29/1999,1.1371
2/1/1999,1.1303
2/2/1999,1.1328
2/3/1999,1.1339
2/4/1999,1.1306
2/5/1999,1.1283
2/8/1999,1.1296
2/9/1999,1.13
2/10/1999,1.1331
2/11/1999,1.1303
2/12/1999,1.1282
2/16/1999,1.1189
2/17/1999,1.123
2/18/1999,1.1223
2/19/1999,1.1075
2/22/1999,1.1037
2/23/1999,1.0993
2/24/1999,1.0972
2/25/1999,1.1068
2/26/1999,1.0995
3/1/1999,1.0891
3/2/1999,1.0931
3/3/1999,1.0888
3/4/1999,1.0824
3/5/1999,1.0843
3/8/1999,1.0899
3/9/1999,1.0873
3/10/1999,1.0961
3/11/1999,1.0932
3/12/1999,1.0936
3/15/1999,1.093
3/16/1999,1.0915
3/17/1999,1.1015
3/18/1999,1.099
3/19/1999,1.0923
3/22/1999,1.0915
3/23/1999,1.0918
3/24/1999,1.0921
3/25/1999,1.0871
3/26/1999,1.0743
3/29/1999,1.0716
3/30/1999,1.0732
3/31/1999,1.0808
4/1/1999,1.0782
4/2/1999,1.0782
4/5/1999,1.0706
4/6/1999,1.0838
4/7/1999,1.0784
4/8/1999,1.0835
4/9/1999,1.0786
4/12/1999,1.0842
4/13/1999,1.078
4/14/1999,1.0779
4/15/1999,1.0717
4/16/1999,1.0688
4/19/1999,1.0608
4/20/1999,1.063
4/21/1999,1.0612
4/22/1999,1.0598
4/23/1999,1.0634
4/26/1999,1.059
4/27/1999,1.0649
4/28/1999,1.0616
4/29/1999,1.0591
4/30/1999,1.0564
5/3/1999,1.0571
5/4/1999,1.0593
5/5/1999,1.0724
5/6/1999,1.0779
5/7/1999,1.0781
5/10/1999,1.0787
5/11/1999,1.072
5/12/1999,1.0666
5/13/1999,1.0626
5/14/1999,1.065
5/17/1999,1.0672
5/18/1999,1.0672
5/19/1999,1.0641
5/20/1999,1.063
5/21/1999,1.0577
5/24/1999,1.0593
5/25/1999,1.0587
5/26/1999,1.0471
5/27/1999,1.0439
5/28/1999,1.0422
6/1/1999,1.0449
6/2/1999,1.0357
6/3/1999,1.0355
6/4/1999,1.0327
6/7/1999,1.0296
6/8/1999,1.0438
6/9/1999,1.045
6/10/1999,1.0477
6/11/1999,1.0516
6/14/1999,1.0416
6/15/1999,1.042
6/16/1999,1.0298
6/17/1999,1.0329
6/18/1999,1.0368
6/21/1999,1.0323
6/22/1999,1.0323
6/23/1999,1.0316
6/24/1999,1.0372
6/25/1999,1.0448
6/28/1999,1.0373
6/29/1999,1.0337
6/30/1999,1.031
7/1/1999,1.0236
7/2/1999,1.0244
7/6/1999,1.0249
7/7/1999,1.0224
7/8/1999,1.0198
7/9/1999,1.0186
7/12/1999,1.0139
7/13/1999,1.0176
7/14/1999,1.0215
7/15/1999,1.022
7/16/1999,1.0203
7/19/1999,1.0203
7/20/1999,1.042
7/21/1999,1.0526
7/22/1999,1.0509
7/23/1999,1.0497
7/26/1999,1.0651
7/27/1999,1.0627
7/28/1999,1.0644
7/29/1999,1.0719
7/30/1999,1.0694
8/2/1999,1.0661
8/3/1999,1.068
8/4/1999,1.0766
8/5/1999,1.0793
8/6/1999,1.077
8/9/1999,1.0694
8/10/1999,1.0752
8/11/1999,1.066
8/12/1999,1.0636
8/13/1999,1.0568
8/16/1999,1.0557
8/17/1999,1.0525
8/18/1999,1.0505
8/19/1999,1.0643
8/20/1999,1.0654
8/23/1999,1.0553
8/24/1999,1.0506
8/25/1999,1.0461
8/26/1999,1.0441
8/27/1999,1.046
8/30/1999,1.0445
8/31/1999,1.0581
9/1/1999,1.0582
9/2/1999,1.0689
9/3/1999,1.0605
9/7/1999,1.0581
9/8/1999,1.059
9/9/1999,1.0543
9/10/1999,1.0402
9/13/1999,1.04
9/14/1999,1.0408
9/15/1999,1.0385
9/16/1999,1.0418
9/17/1999,1.0399
9/20/1999,1.0408
9/21/1999,1.046
9/22/1999,1.05
9/23/1999,1.0415
9/24/1999,1.0466
9/27/1999,1.0431
9/28/1999,1.0509
